"","V1","V2","V3","V4"
"140",251.899791281196,251.899887886196,251.899984491196,251.900081096196
"141",251.899802032264,251.899900032264,251.899998032265,251.900096032265
"142",251.899812840328,251.899912245328,251.900011650328,251.900111055328
"143",251.899823705137,251.899924525137,251.900025345137,251.900126165137
"144",251.899834626447,251.899936871447,251.900039116447,251.900141361447
"145",251.89984560401,251.89994928401,251.90005296401,251.90015664401
"146",251.89985663758,251.89996176258,251.90006688758,251.90017201258
"147",251.899867726913,251.899974306913,251.900080886913,251.900187466913
"148",251.899878871763,251.899986916763,251.900094961763,251.900203006763
"149",251.899890071889,251.899999591889,251.900109111889,251.900218631889
"150",251.899901327046,251.900012332046,251.900123337046,251.900234342046
"151",251.899912636992,251.900025136992,251.900137636992,251.900250136992
"152",251.899924001485,251.900038006485,251.900152011485,251.900266016485
"153",251.899935420286,251.900050940286,251.900166460286,251.900281980286
"154",251.899946893152,251.900063938152,251.900180983152,251.900298028152
"155",251.899958419846,251.900076999846,251.900195579846,251.900314159846
"156",251.899970000128,251.900090125128,251.900210250128,251.900330375128
"157",251.89998163376,251.90010331376,251.90022499376,251.90034667376
"158",251.899993320504,251.900116565504,251.900239810504,251.900363055504
"159",251.900005060124,251.900129880124,251.900254700124,251.900379520124
"160",251.900016852383,251.900143257383,251.900269662383,251.900396067383
"161",251.900028697045,251.900156697045,251.900284697045,251.900412697045
"162",251.900040593876,251.900170198876,251.900299803876,251.900429408876
"163",251.900052542642,251.900183762642,251.900314982642,251.900446202642
"164",251.900064543109,251.900197388109,251.900330233109,251.900463078109
"165",251.900076595044,251.900211075044,251.900345555044,251.900480035044
"166",251.900088698215,251.900224823215,251.900360948215,251.900497073215
"167",251.90010085239,251.90023863239,251.90037641239,251.90051419239
"168",251.900113057339,251.900252502339,251.900391947339,251.900531392339
"169",251.90012531283,251.90026643283,251.90040755283,251.90054867283
"170",251.900137618635,251.900280423635,251.900423228635,251.900566033635
"171",251.900149974523,251.900294474523,251.900438974523,251.900583474523
"172",251.900162380268,251.900308585268,251.900454790268,251.900600995268
"173",251.900174835641,251.900322755641,251.900470675641,251.900618595641
"174",251.900187340414,251.900336985414,251.900486630414,251.900636275414
"175",251.900199894362,251.900351274362,251.900502654362,251.900654034362
"176",251.900212497258,251.900365622258,251.900518747258,251.900671872258
"177",251.900225148878,251.900380028878,251.900534908878,251.900689788878
"178",251.900237848996,251.900394493996,251.900551138996,251.900707783996
"179",251.900250597389,251.900409017389,251.900567437389,251.900725857389
"180",251.900263393833,251.900423598833,251.900583803833,251.900744008833
"181",251.900276238106,251.900438238106,251.900600238106,251.900762238106
"182",251.900289129985,251.900452934985,251.900616739985,251.900780544985
"183",251.900302069249,251.900467689249,251.900633309249,251.900798929249
"184",251.900315055677,251.900482500677,251.900649945677,251.900817390677
"185",251.900328089048,251.900497369048,251.900666649048,251.900835929048
"186",251.900341169143,251.900512294143,251.900683419143,251.900854544143
"187",251.900354295743,251.900527275743,251.900700255743,251.900873235743
"188",251.900367468629,251.900542313629,251.900717158629,251.900892003629
"189",251.900380687584,251.900557407584,251.900734127584,251.900910847584
"190",251.900393952389,251.900572557389,251.900751162389,251.900929767389
"191",251.900407262829,251.900587762829,251.900768262829,251.900948762829
"192",251.900420618688,251.900603023688,251.900785428688,251.900967833688
"193",251.900434019749,251.900618339749,251.900802659749,251.900986979749
"194",251.900447465798,251.900633710798,251.900819955798,251.901006200798
"195",251.900460956621,251.900649136621,251.900837316621,251.901025496621
"196",251.900474492003,251.900664617003,251.900854742003,251.901044867003
"197",251.900488071732,251.900680151732,251.900872231732,251.901064311732
"198",251.900501695596,251.900695740596,251.900889785596,251.901083830596
"199",251.900515363381,251.900711383381,251.900907403381,251.901103423381
"200",251.900529074877,251.900727079877,251.900925084877,251.901123089877
"201",251.900542829873,251.900742829873,251.900942829873,251.901142829873
"202",251.900556628159,251.900758633159,251.900960638159,251.901162643159
"203",251.900570469524,251.900774489524,251.900978509524,251.901182529524
"204",251.900584353761,251.900790398761,251.900996443761,251.901202488761
"205",251.90059828066,251.90080636066,251.90101444066,251.90122252066
"206",251.900612250013,251.900822375013,251.901032500013,251.901242625013
"207",251.900626261613,251.900838441613,251.901050621613,251.901262801613
"208",251.900640315253,251.900854560253,251.901068805253,251.901283050253
"209",251.900654410727,251.900870730727,251.901087050727,251.901303370727
"210",251.900668547829,251.900886952829,251.901105357829,251.901323762829
"211",251.900682726354,251.900903226354,251.901123726354,251.901344226354
"212",251.900696946098,251.900919551098,251.901142156098,251.901364761098
"213",251.900711206856,251.900935926856,251.901160646856,251.901385366856
"214",251.900725508424,251.900952353424,251.901179198424,251.901406043424
"215",251.900739850601,251.900968830601,251.901197810601,251.901426790601
"216",251.900754233183,251.900985358183,251.901216483183,251.901447608183
"217",251.900768655969,251.901001935969,251.901235215969,251.901468495969
"218",251.900783118757,251.901018563757,251.901254008757,251.901489453757
"219",251.900797621346,251.901035241347,251.901272861347,251.901510481347
"220",251.900812163538,251.901051968538,251.901291773538,251.901531578538
"221",251.900826745131,251.901068745131,251.901310745131,251.901552745131
"222",251.900841365926,251.901085570926,251.901329775926,251.901573980926
"223",251.900856025726,251.901102445726,251.901348865726,251.901595285726
"224",251.900870724331,251.901119369331,251.901368014331,251.901616659331
"225",251.900885461545,251.901136341545,251.901387221545,251.901638101545
"226",251.900900237171,251.901153362171,251.901406487171,251.901659612171
"227",251.900915051011,251.901170431011,251.901425811011,251.901681191011
"228",251.90092990287,251.90118754787,251.90144519287,251.90170283787
"229",251.900944792554,251.901204712554,251.901464632554,251.901724552554
"230",251.900959719866,251.901221924866,251.901484129866,251.901746334866
"231",251.900974684612,251.901239184612,251.901503684612,251.901768184612
"232",251.900989686599,251.901256491599,251.901523296599,251.901790101599
"233",251.901004725633,251.901273845633,251.901542965633,251.901812085633
"234",251.901019801521,251.901291246521,251.901562691521,251.901834136521
"235",251.901034914072,251.901308694072,251.901582474072,251.901856254072
"236",251.901050063093,251.901326188093,251.901602313093,251.901878438093
"237",251.901065248393,251.901343728393,251.901622208393,251.901900688393
"238",251.901080469782,251.901361314782,251.901642159782,251.901923004782
"239",251.901095727069,251.901378947069,251.901662167069,251.901945387069
"240",251.901111020064,251.901396625064,251.901682230064,251.901967835064
"241",251.901126348578,251.901414348578,251.901702348578,251.901990348578
"242",251.901141712423,251.901432117423,251.901722522423,251.902012927423
"243",251.90115711141,251.90144993141,251.90174275141,251.90203557141
"244",251.901172545351,251.901467790351,251.901763035351,251.902058280351
"245",251.90118801406,251.90148569406,251.90178337406,251.90208105406
"246",251.90120351735,251.90150364235,251.90180376735,251.90210389235
"247",251.901219055034,251.901521635034,251.901824215034,251.902126795034
"248",251.901234626926,251.901539671926,251.901844716926,251.902149761926
"249",251.901250232842,251.901557752842,251.901865272842,251.902172792842
